0,0,0,0,0,0,0,0,0,0,0
-1235856757,432357121,1899587541,1356275633,875004717,1999759213,-2060875503,229929076,-358180356,249420413,0
0,-229035415,1238195005,694883097,213612181,1338366677,1572699257,-431463460,-1019572892,-411972123,0
0,0,-960861342,-1504173250,-1985444166,-860689670,-626357090,1664447489,1076338057,1683938826,0
0,0,0,536912711,55641795,1180396291,1414728871,-589433846,-1177543278,-569942509,0
0,0,0,0,-401987784,722766712,957099292,-1047063425,-1635172857,-1027572088,0
0,0,0,0,0,-1254780757,-1020448177,1270356402,682246970,1289847739,0
0,0,0,0,0,0,-1259624503,1031180076,443070644,1050671413,0
0,0,0,0,0,0,0,-2125414495,1581443369,-2105923158,0
0,0,0,0,0,0,0,0,197767172,805367941,0
0,0,0,0,0,0,0,0,0,2018830868,0
